ID,Exp.group,IQ,Working.memory,WM.centered,d1Cond
1,control,134,91,-8.08,0
2,control,121,145,45.92,0
3,control,86,118,18.92,0
4,control,74,105,5.92,0
5,control,80,96,-3.08,0
6,control,105,133,33.92,0
7,control,100,99,-0.08,0
8,control,121,97,-2.08,0
9,control,138,96,-3.08,0
10,control,104,105,5.92,0
11,control,77,86,-13.08,0
12,control,101,101,1.92,0
13,control,128,113,13.92,0
14,control,103,98,-1.08,0
15,control,87,86,-13.08,0
16,control,81,83,-16.08,0
17,control,71,116,16.92,0
18,control,81,136,36.92,0
19,control,100,117,17.92,0
20,control,106,71,-28.08,0
21,control,90,90,-9.08,0
22,control,79,100,0.92,0
23,control,102,88,-11.08,0
24,control,99,81,-18.08,0
25,control,46,90,-9.08,0
26,control,78,110,10.92,0
27,control,82,105,5.92,0
28,control,106,84,-15.08,0
29,control,123,115,15.92,0
30,control,106,72,-27.08,0
31,control,97,110,10.92,0
32,control,83,77,-22.08,0
33,control,133,112,12.92,0
34,control,72,90,-9.08,0
35,control,93,82,-17.08,0
36,control,117,85,-14.08,0
37,control,112,101,1.92,0
38,control,112,117,17.92,0
39,control,97,80,-19.08,0
40,control,114,96,-3.08,0
41,control,64,96,-3.08,0
42,control,95,110,10.92,0
43,control,126,113,13.92,0
44,control,141,135,35.92,0
45,control,73,118,18.92,0
46,control,81,159,59.92,0
47,control,68,97,-2.08,0
48,control,108,106,6.92,0
49,control,106,79,-20.08,0
50,control,93,119,19.92,0
51,threat1,36,82,-17.08,1
52,threat1,56,109,9.92,1
53,threat1,44,73,-26.08,1
54,threat1,41,108,8.92,1
55,threat1,80,126,26.92,1
56,threat1,58,99,-0.08,1
57,threat1,68,129,29.92,1
58,threat1,54,85,-14.08,1
59,threat1,64,119,19.92,1
60,threat1,57,94,-5.08,1
61,threat1,32,86,-13.08,1
62,threat1,68,126,26.92,1
63,threat1,46,97,-2.08,1
64,threat1,76,98,-1.08,1
65,threat1,35,84,-15.08,1
66,threat1,51,131,31.92,1
67,threat1,55,103,3.92,1
68,threat1,68,138,38.92,1
69,threat1,41,95,-4.08,1
70,threat1,50,88,-11.08,1
71,threat1,42,91,-8.08,1
72,threat1,55,96,-3.08,1
73,threat1,37,92,-7.08,1
74,threat1,54,93,-6.08,1
75,threat1,59,106,6.92,1
76,threat1,43,91,-8.08,1
77,threat1,37,85,-14.08,1
78,threat1,48,104,4.92,1
79,threat1,75,138,38.92,1
80,threat1,77,116,16.92,1
81,threat1,83,120,20.92,1
82,threat1,59,106,6.92,1
83,threat1,41,89,-10.08,1
84,threat1,60,112,12.92,1
85,threat1,59,130,30.92,1
86,threat1,44,72,-27.08,1
87,threat1,55,111,11.92,1
88,threat1,49,78,-21.08,1
89,threat1,21,77,-22.08,1
90,threat1,23,78,-21.08,1
91,threat1,51,111,11.92,1
92,threat1,44,100,0.92,1
93,threat1,68,108,8.92,1
94,threat1,48,96,-3.08,1
95,threat1,47,107,7.92,1
96,threat1,55,99,-0.08,1
97,threat1,44,94,-5.08,1
98,threat1,59,93,-6.08,1
99,threat1,53,91,-8.08,1
100,threat1,38,86,-13.08,1
